t,x,y,z,q0,q1,q2,q3,q4,q5,q6
1.68046,0.205163,0.112538,0.500015,0.059272,-0.819547,0.232351,-2.52359,0.278915,1.01792,-0.075295
1.69046,0.205588,0.115526,0.500027,0.061976,-0.819019,0.238322,-2.52237,0.283174,1.02671,-0.084652
1.70046,0.206107,0.1185,0.50004,0.064682,-0.818133,0.244213,-2.52097,0.287186,1.03576,-0.094262
1.71046,0.20672,0.121455,0.500052,0.067382,-0.816888,0.250014,-2.51939,0.290942,1.04506,-0.104111
1.72046,0.207425,0.12439,0.500064,0.070069,-0.815283,0.255716,-2.51763,0.294439,1.05459,-0.114184
1.73046,0.208223,0.1273,0.500076,0.072736,-0.813319,0.261311,-2.5157,0.297674,1.06432,-0.124466
1.74046,0.209113,0.130184,0.500088,0.075375,-0.810995,0.26679,-2.5136,0.300643,1.07424,-0.13494
1.75046,0.210093,0.133037,0.500099,0.077979,-0.808313,0.272146,-2.51133,0.303345,1.08432,-0.145586
1.76046,0.211162,0.135858,0.50011,0.080541,-0.805275,0.277371,-2.50889,0.30578,1.09454,-0.156387
1.77046,0.212321,0.138643,0.50012,0.083054,-0.801883,0.282459,-2.50628,0.307949,1.10487,-0.167322
1.78046,0.213566,0.141389,0.50013,0.08551,-0.798141,0.287401,-2.50352,0.309853,1.11528,-0.17837
1.79046,0.214898,0.144094,0.500138,0.087903,-0.794052,0.292192,-2.50059,0.311494,1.12575,-0.189509
1.80046,0.216315,0.146754,0.500146,0.090225,-0.78962,0.296826,-2.4975,0.312877,1.13626,-0.200717
1.81046,0.217815,0.149368,0.500153,0.09247,-0.78485,0.301298,-2.49425,0.314006,1.14677,-0.21197
1.82046,0.219398,0.151932,0.500158,0.094632,-0.779748,0.305602,-2.49084,0.314886,1.15725,-0.223246
1.83046,0.221061,0.154443,0.500163,0.096704,-0.774319,0.309734,-2.48727,0.315523,1.16768,-0.234519
1.84046,0.222802,0.1569,0.500166,0.09868,-0.768571,0.313691,-2.48355,0.315925,1.17803,-0.245765
1.85046,0.224621,0.159299,0.500168,0.100556,-0.76251,0.317468,-2.47967,0.316098,1.18826,-0.25696
1.86046,0.226514,0.161638,0.500168,0.102325,-0.756144,0.321064,-2.47564,0.316051,1.19836,-0.268077
1.87046,0.228482,0.163915,0.500167,0.103982,-0.749481,0.324476,-2.47145,0.315792,1.20829,-0.279093
1.88046,0.23052,0.166127,0.500165,0.105524,-0.74253,0.327702,-2.4671,0.315331,1.21803,-0.289982
1.89046,0.232628,0.168273,0.500161,0.106946,-0.7353,0.330741,-2.46259,0.314676,1.22754,-0.30072
1.90046,0.234803,0.17035,0.500155,0.108243,-0.7278,0.333593,-2.45793,0.313839,1.2368,-0.31128
1.91046,0.237043,0.172356,0.500148,0.109414,-0.720041,0.336258,-2.45311,0.312829,1.24579,-0.32164
1.92046,0.239346,0.174289,0.50014,0.110455,-0.712033,0.338735,-2.44814,0.311656,1.25449,-0.331774
1.93046,0.241709,0.176148,0.50013,0.111363,-0.703787,0.341027,-2.44301,0.310332,1.26286,-0.34166
1.94046,0.244131,0.177929,0.500118,0.112136,-0.695314,0.343134,-2.43772,0.308866,1.27088,-0.351274
1.95046,0.246608,0.179633,0.500106,0.112774,-0.686625,0.345058,-2.43227,0.307271,1.27854,-0.360596
1.96046,0.249138,0.181257,0.500092,0.113274,-0.677733,0.346801,-2.42667,0.305555,1.28581,-0.369602
1.97046,0.251745,0.182814,0.500077,0.113639,-0.668559,0.348381,-2.42085,0.303712,1.29275,-0.378358
1.98046,0.254374,0.184273,0.500061,0.113861,-0.659296,0.34977,-2.41494,0.301788,1.2992,-0.386671
1.99046,0.257047,0.185647,0.500044,0.113946,-0.649868,0.350986,-2.40888,0.299777,1.30522,-0.394611
2.00046,0.259763,0.186936,0.500026,0.113893,-0.640288,0.352035,-2.40266,0.297689,1.31079,-0.40216
2.01046,0.262518,0.188139,0.500008,0.113704,-0.630569,0.352919,-2.3963,0.295532,1.3159,-0.409304
2.02046,0.26531,0.189254,0.499989,0.113381,-0.620723,0.353642,-2.3898,0.293318,1.32055,-0.416026
2.03046,0.268136,0.19028,0.49997,0.112924,-0.610765,0.354209,-2.38316,0.291054,1.32474,-0.422315
2.04046,0.270993,0.191216,0.499951,0.112337,-0.600709,0.354622,-2.37639,0.288749,1.32846,-0.428157
2.05046,0.273879,0.192063,0.499932,0.111621,-0.590567,0.354888,-2.36949,0.286413,1.3317,-0.433544
2.06046,0.27679,0.192819,0.499913,0.110781,-0.580353,0.355008,-2.36246,0.284052,1.33447,-0.438465
2.07046,0.279723,0.193483,0.499895,0.109819,-0.570081,0.354989,-2.35532,0.281673,1.33678,-0.442914
2.08046,0.282676,0.194055,0.499877,0.108739,-0.559766,0.354832,-2.34807,0.279284,1.33862,-0.446885
2.09046,0.285645,0.194535,0.499859,0.107545,-0.54942,0.354543,-2.34071,0.27689,1.34,-0.450373
2.10046,0.288627,0.194921,0.499843,0.106241,-0.539058,0.354126,-2.33327,0.274496,1.34093,-0.453375
2.11046,0.29162,0.195215,0.499827,0.104833,-0.528692,0.353582,-2.32574,0.272109,1.34143,-0.455892
2.12046,0.29462,0.195416,0.499813,0.103324,-0.518337,0.352917,-2.31813,0.269731,1.3415,-0.457922
2.13046,0.297624,0.195523,0.499799,0.10172,-0.508005,0.352133,-2.31046,0.267366,1.34115,-0.459468
2.14046,0.30063,0.195536,0.499786,0.100026,-0.49771,0.351232,-2.30273,0.265018,1.3404,-0.460534
2.15046,0.303634,0.195457,0.499775,0.098248,-0.487464,0.350218,-2.29496,0.262688,1.33927,-0.461124
2.16046,0.306633,0.195284,0.499765,0.096391,-0.477281,0.349094,-2.28716,0.260378,1.33777,-0.461245
2.17046,0.309624,0.195018,0.499756,0.09446,-0.467173,0.34786,-2.27934,0.258089,1.33592,-0.460905
2.18046,0.312605,0.19466,0.499749,0.092463,-0.457152,0.346519,-2.2715,0.255821,1.33373,-0.460113
2.19046,0.315572,0.194209,0.499743,0.090404,-0.44723,0.345073,-2.26367,0.253574,1.33124,-0.458879
2.20046,0.318523,0.193667,0.499738,0.08829,-0.437418,0.343524,-2.25585,0.251348,1.32846,-0.457216
2.21046,0.321454,0.193033,0.499734,0.086126,-0.427728,0.341871,-2.24805,0.24914,1.3254,-0.455136
2.22046,0.324363,0.192309,0.499732,0.083919,-0.41817,0.340117,-2.2403,0.24695,1.32209,-0.452653
2.23046,0.327247,0.191495,0.49973,0.081676,-0.408756,0.338262,-2.23259,0.244774,1.31854,-0.449783
2.24046,0.330103,0.190592,0.49973,0.079401,-0.399495,0.336307,-2.22494,0.24261,1.31479,-0.446541
2.25046,0.332928,0.1896,0.499731,0.077101,-0.390398,0.334252,-2.21737,0.240455,1.31084,-0.442944
2.26046,0.33572,0.188521,0.499733,0.074781,-0.381473,0.332098,-2.20988,0.238305,1.30672,-0.439009
2.27046,0.338475,0.187356,0.499736,0.072449,-0.372731,0.329845,-2.20249,0.236157,1.30245,-0.434756
2.28046,0.341192,0.186105,0.49974,0.070108,-0.364178,0.327492,-2.1952,0.234006,1.29804,-0.430202
2.29046,0.343867,0.184771,0.499745,0.067766,-0.355824,0.325041,-2.18804,0.231848,1.29351,-0.425367
2.30046,0.346499,0.183354,0.49975,0.065426,-0.347677,0.322491,-2.181,0.229679,1.28889,-0.420271
2.31046,0.349084,0.181855,0.499756,0.063095,-0.339743,0.319842,-2.1741,0.227494,1.28418,-0.414933
2.32046,0.351619,0.180276,0.499762,0.060778,-0.33203,0.317095,-2.16735,0.225288,1.27941,-0.409374
2.33046,0.354103,0.178619,0.499769,0.058479,-0.324544,0.314249,-2.16076,0.223057,1.27459,-0.403613
2.34046,0.356534,0.176885,0.499776,0.056203,-0.317291,0.311305,-2.15434,0.220796,1.26972,-0.397671
2.35046,0.358908,0.175075,0.499784,0.053954,-0.310277,0.308264,-2.1481,0.218501,1.26484,-0.391567
2.36046,0.361223,0.173192,0.499791,0.051736,-0.303506,0.305124,-2.14203,0.216167,1.25995,-0.385321
2.37046,0.363478,0.171237,0.4998,0.049554,-0.296984,0.301888,-2.13616,0.21379,1.25506,-0.378953
